Date,Remarks,SSC_Conc
8/1/75,,168
8/2/75,,162
8/3/75,,156
8/4/75,,172
8/4/75,,154
8/5/75,,186
8/6/75,,166
8/6/75,,166
8/7/75,,188
8/8/75,,168
8/9/75,,160
8/10/75,,151
8/11/75,,154
8/12/75,,186
8/13/75,,152
8/14/75,,162
8/15/75,,162
8/16/75,,164
8/17/75,,143
8/18/75,,154
8/19/75,,177
8/20/75,,154
8/21/75,,132
8/22/75,,150
8/23/75,,139
8/24/75,,162
8/25/75,,135
8/26/75,,143
8/27/75,,143
8/28/75,,136
8/29/75,,138
8/30/75,,124
8/31/75,,132
9/1/75,,122
9/2/75,,102
9/2/75,,87
9/3/75,,115
9/4/75,,120
9/5/75,,114
9/6/75,,128
9/7/75,,126
9/8/75,,122
9/9/75,,116
9/10/75,,107
9/11/75,,116
9/12/75,,128
9/13/75,,114
9/14/75,,118
9/15/75,,110
9/16/75,,114
9/17/75,,125
9/18/75,,116
9/19/75,,119
9/20/75,,107
9/21/75,,102
9/22/75,,110
9/24/75,,110
9/25/75,,102
9/26/75,,108
9/27/75,,116
9/28/75,,100
9/29/75,,104
9/30/75,,86
10/1/75,,76
10/1/75,,80
10/2/75,,71
10/3/75,,78
10/4/75,,66
10/5/75,,66
10/6/75,,77
10/7/75,,66
10/8/75,,59
10/9/75,,83
10/10/75,,79
10/11/75,,84
10/12/75,,105
10/13/75,,88
10/14/75,,103
10/15/75,,105
10/16/75,,77
10/17/75,,82
10/18/75,,64
10/19/75,,93
10/20/75,,78
10/21/75,,83
10/22/75,,69
10/23/75,,90
10/24/75,,88
10/25/75,,76
10/26/75,,83
10/27/75,,67
10/28/75,,59
10/29/75,,60
10/31/75,,72
11/2/75,,64
11/3/75,,66
11/4/75,,65
11/4/75,,64
11/5/75,,64
11/6/75,,97
11/7/75,,70
11/8/75,,82
11/9/75,,54
11/10/75,,63
11/11/75,,57
11/12/75,,82
11/13/75,,75
11/14/75,,60
11/15/75,,61
